Eil.Nr.,Gatvės pavadinimas,Seniunija,Rajonas (vietovė),"Ilgis,m","Plotas, kv.m","Ilgis, m",Asfalto,Žvyro,Grunto,bet koks,,Namai
75,Lietaus g.,Šilainių ,Sargėnai,,,,,,,,,
76,Linkuvos g.,Vilijampolės Šilainių,Vilijampolė Smėliai,1398,15314,1398,1398,,,,,Nuo 89 iki 91
77,Liucernų g.,Šilainių,Linkuva,624,4592,624,,80,,544,,
78,Liucijanavos g.,Šilainių,Romainiai Linkuva,1082,5410,1082,,1082,,,,
79,Livintos g.,Šilainių,Sargėnai,,,,,,,,,
80,Lyduvėnų g.,Šilainių,Smėliai,67,476,67,,67,,,,
81,Lubinų g.,Šilainių,Romainiai,,,,,,,,,
82,Luknojų g.,Šilainių,Smėliai,206,1236,206,,,,206,,
83,Lukštinės g.,Šilainių,Romainiai,400,1200,0,,,,,,
84,Luokės g.,Šilainių,Milikoniai,223,2225,223,,,223,,,
,M. ir P. Šalčių g.,Šilainių,Romainiai,,,,,,,,,
85,M. Sleževičiaus g.,Šilainių,Sargėnai,158,474,0,,,,,,
86,Maironiškių g.,Šilainių,Smėliai,690,5520,690,690,,,,,
87,Medekšinės g.,Šilainių,Romainiai,400,1200,0,,,,,,
88,Mėlynių takas,Šilainių,Sargėnai,167,501,167,167,,,,,
,Melsvių g.,Šilainių,Romainiai,,,,,,,,,
89,Meškauogių takas,Šilainių,Sargėnai,466,1341,466,319,147,,,,
90,Miežėnų g.,Šilainių,Smėliai,282,1128,282,83,146,34,,,
91,Milikonių g.,Šilainių,Milikoniai,550,3300,550,320,,230,,,
92,Milikonių skg.,Šilainių,Milikoniai,157,496,157,,,157,,,
,Mildos g.,Šilainių,Romainiai,,,,,,,,,
,Minijos g.,Šilainių,Sargėnai,,,,,,,,,
93,Mosėdžio g.,Šilainių,Smėliai,885,7080,885,885,,,,,
94,Muniškių g.,Šilainių,Sargėnai,304,2317,304,304,,,,,
95,Nadruvių g.,Šilainių,Smėliai,265,1590,265,,,,265,,
96,Nartavos g.,Šilainių,Sargėnai,947,2841,947,91,856,,,,
97,Naujakurių g.,Vilijampolės Šilainių,Veršvai Smėliai,1265,9571,1265,1143,,,,,Nelyginiai 31-57; Lyginiai 46-118
98,Nemakščių g.,Šilainių,Milikoniai,177,510,177,,177,,,,
99,Notangų g.,Šilainių,Smėliai,224,896,224,10,214,,,,
100,Obelynės g.,Šilainių,Sargėnai,935,10612,935,935,,,,,
101,Pagudėnų g.,Šilainių,Smėliai,116,696,116,,,,116,,
102,Pakalnučių g.,Šilainių,Linkuva,180,1080,180,,,,180,,
103,Pakaunės g.,Šilainių,Linkuva,1088,8704,1088,,,,1088,,
104,Paltiškių g.,Šilainių,Romainiai,710,3355,710,,465,,245,,
105,Pamedėnų g.,Šilainių,Smėliai,409,2045,409,,,,409,,
106,Panerių g.,Vilijampolės Šilainių,Vilijampolė Panerys Milikoniai Sargėnai,4958,81681,4958,4958,,,,,Nelyginiai nuo 289; Lyginiainuio 268 + 263 su raidelėm
107,Paštuvos g.,Šilainių,Romainiai,538,3766,538,,538,,,,
108,Pavejuonio g.,Šilainių,Romainiai,268,804,268,,268,,,,
109,Pelenėlių takas,Šilainių,Sargėnai,450,900,450,,,450,,,
110,Pelėžirnių takas,Šilainių,Sargėnai,1073,3459,1073,692,381,,,,
111,Pempių takas,Šilainių,Sargėnai,337,1348,337,,337,,,,
112,Pienių g.,Šilainių,Sargėnai,530,8450,530,530,,,,,
113,Pilupėnų g.,Šilainių,Smėliai,100,600,100,,,,100,,
114,Pipirlapių takas,Šilainių,Sargėnai,387,938,387,,164,223,,,
115,Pylimo g.,Šilainių,Smėliai,476,7425,476,476,,,,,
116,Pokšniabalio g.,Šilainių,Linkuva,302,2114,302,,,,302,,
117,Priekulės g.,Šilainių,Milikoniai,190,1950,190,,,190,,,
118,Priemiesčio g.,Šilainių,Sargėnai,350,1050,0,,,,,,
119,Pryšmančių g.,Šilainių,Smėliai,856,12397,856,571,203,82,,,
120,Prūsų g.,Šilainių,Smėliai,450,18000,450,450,,,,,
121,Radviliškio g.,Šilainių,Sargėnai,408,4821,408,,408,,,,
122,Rainių g.,Šilainių,Linkuva,384,1536,384,,,,384,,
123,Ramioji g.,Šilainių,Sargėnai,,,,,,,,,
124,Rasytės g.,Šilainių,Milikoniai,690,10350,690,690,,,,,
125,Ridikų takas,Šilainių,Romainiai,222,666,222,,222,,,,
126,Rietavo g.,Šilainių,Milikoniai,600,6240,600,600,,,,,
127,Ristūnų g.,Šilainių,Romainiai,212,996,212,,212,,,,
,Romainiškių g.,Šilainių,Romainiai,,,,,,,,,
128,Romainių g.,Šilainių,Romainiai,2300,6990,0,,,,,,
129,Rūgštynių takas,Šilainių,Sargėnai,458,2290,458,,458,,,,
130,S. Banaičio g.,Šilainių,Linkuva,1706,11781,1706,,455,,1251,,
131,Salantų g.,Šilainių,Sargėnai,775,8912,775,,775,,,,
132,Samanų takas,Šilainių,Romainiai,352,623,352,,352,,,,
133,Saulėlydžio g.,Šilainių,Smėliai,425,2975,425,425,,,,,
134,Sausinės g.,Šilainių,Sargėnai,400,2400,400,400,,,,,
135,Sedos g.,Šilainių,Smėliai,128,1766,128,,128,,,,
